 Time,10 g X,Temperature,Sound,Light,Pressure,Humidity,Comment
  min:s,g, C, dBA, lx, kPa, %RH,
00:01,-0.07223114,21.72671,44.62566,53.80927,96.896,31.42977,
00:02,-0.07223114,21.72671,40,53.2765,96.918,31.37636,
00:03,-0.07223114,21.72671,40,53.2765,96.908,31.32296,
00:04,-0.07223114,21.72671,62.21793,53.80927,96.9,31.29244,
00:05,-0.07223114,21.72671,44.74868,53.80927,96.902,31.23903,
00:06,-0.08025682,21.72671,52.13005,54.34203,96.904,31.21614,
00:07,-0.06420546,21.72671,41.42707,54.34203,96.912,31.178,
00:08,-0.05617978,21.72671,64.94904,53.80927,96.92,31.13985,
00:09,-0.07223114,21.72671,75.13532,53.80927,96.904,31.1017,
00:10,-0.05617978,21.72671,46.81546,54.34203,96.906,31.07881,
00:11,-0.07223114,21.72671,70.06678,54.34203,96.882,31.04829,
00:12,-0.07223114,21.72671,69.18102,54.34203,96.918,31.02541,
00:13,-0.06420546,21.72671,50.16169,54.34203,96.88,30.99489,
00:14,-0.07223114,21.72671,63.05448,54.34203,96.91,30.972,
00:15,-0.07223114,21.72671,46.27417,54.34203,96.898,30.95674,
00:16,-0.06420546,21.72671,77.98946,54.34203,96.898,30.91859,
00:17,-0.06420546,21.72671,56.23902,54.34203,96.886,30.88807,
00:18,-0.06420546,21.72671,69.69772,54.34203,96.924,30.87282,
00:19,-0.07223114,21.72671,68.17223,53.80927,96.87,30.8423,
00:20,-0.06420546,21.72671,58.3304,54.34203,96.918,30.81941,
00:21,-0.06420546,21.72671,78.94904,54.34203,96.876,30.79652,
00:22,-0.07223114,21.72671,45.9051,54.34203,96.918,30.78126,
00:23,-0.08025682,21.70186,58.13357,54.34203,96.886,30.75837,
00:24,-0.07223114,21.70186,45.88049,54.34203,96.914,30.73549,
00:25,-0.06420546,21.70186,60.69244,54.34203,96.92,30.7126,
00:26,-0.07223114,21.70186,66.67136,33.5642,96.91,30.69734,
00:27,-0.07223114,21.70186,78.30931,34.09696,96.908,30.68208,
00:28,-0.06420546,21.70186,73.75747,52.74374,96.918,30.66682,
00:29,-0.07223114,21.70186,63.6696,54.34203,96.896,30.6363,
00:30,-0.06420546,21.70186,75.97188,54.34203,96.938,30.61341,
00:31,-0.07223114,21.70186,42.46046,55.40757,96.906,30.59052,
00:32,0.1284109,21.70186,57.2478,54.34203,96.894,30.56764,
00:33,0.6661316,21.70186,67.06503,54.34203,96.904,30.56764,
00:34,0.7383628,21.70186,40,55.40757,96.924,30.56764,
00:35,-1.155698,21.67702,57.7891,55.40757,96.876,30.55238,
00:36,-0.8025682,21.67702,79.8348,51.14544,96.892,30.55238,
00:37,-0.8186196,21.67702,65.93322,47.94886,96.888,30.52949,
00:38,-0.529695,21.70186,65.17047,39.42461,96.882,30.51423,
00:39,-0.1605136,21.70186,80.47452,46.88332,96.882,30.49897,
00:40,-0.1685393,21.72671,73.65905,37.82632,96.908,30.48371,
00:41,-0.1685393,21.7764,65.26889,44.75227,96.898,30.46082,
00:42,-0.1605136,21.82609,48.19332,49.01439,96.912,30.43793,
00:43,-0.1605136,21.87578,67.77856,52.74374,96.912,30.40742,
00:44,-0.1685393,21.92547,66.72057,52.21098,96.902,30.38453,
00:45,-0.1605136,21.97515,77.44816,52.74374,96.904,30.36927,
00:46,-0.1284109,21.95031,81.26186,51.67821,96.9,30.34638,
00:47,-0.200642,21.95031,50.2355,55.94033,96.894,30.31586,
00:48,-0.2086677,21.90062,59.63445,57.00586,96.92,30.3006,
00:49,-0.2086677,21.85093,71.59227,54.34203,96.904,30.27771,
00:50,-0.2086677,21.80124,71.49385,53.80927,96.898,30.25483,
00:51,-0.2166934,21.72671,77.76801,53.80927,96.922,30.23194,
00:52,-0.2086677,21.67702,90.02109,38.89185,96.892,30.21668,
00:53,-0.2086677,21.60248,98.60809,43.68673,96.878,30.19379,
00:54,-0.2086677,21.5528,101.8559,43.68673,96.924,30.17853,
00:55,-0.2166934,21.47826,104.0949,43.15397,96.878,30.16327,
00:56,-0.200642,21.42857,100.2812,43.15397,96.888,30.14801,
00:57,-0.2166934,21.35404,97.40246,43.15397,96.892,30.14038,
00:58,-0.2086677,21.30435,99.29701,42.6212,96.904,30.14038,
00:59,-0.2166934,21.25466,101.0931,42.6212,96.9,30.14801,
01:00,-0.2166934,21.20497,101.3884,42.08844,96.9,30.13275,
01:02,-0.2166934,21.13043,102.1265,42.6212,96.904,30.14038,
01:03,-0.2166934,21.08075,97.03339,37.82632,96.892,30.12512,
01:04,-0.2086677,21.03106,101.8805,31.9659,96.902,30.10987,
01:05,-0.2166934,20.98137,101.1916,30.36761,96.908,30.10224,
01:06,-0.2086677,20.93168,102.2988,37.82632,96.928,30.10224,
01:07,-0.2166934,20.88199,102.8155,41.02291,96.89,30.10987,
01:08,-0.2086677,20.8323,103.6274,41.55568,96.912,30.10224,
01:09,-0.2166934,20.78261,104.9069,41.55568,96.9,30.10987,
01:10,-0.2086677,20.73292,103.1599,41.02291,96.89,30.10224,
01:11,-0.2086677,20.68323,104.4394,41.02291,96.914,30.10987,
01:12,-0.2166934,20.63354,77.98946,41.02291,96.894,30.11749,
01:13,-0.2086677,20.58385,42.38664,45.81779,96.896,30.10987,
01:14,-0.2086677,20.55901,63.6942,48.48162,96.886,30.10224,
01:15,-0.2086677,20.50932,79.93322,49.01439,96.91,30.09461,
01:16,-0.200642,20.45963,72.05975,49.01439,96.918,30.06409,
01:17,-0.2086677,20.43478,40,49.54715,96.89,30.03357,
01:18,-0.2086677,20.38509,78.45694,49.01439,96.914,30.01831,
01:19,-0.2086677,20.3354,40,49.01439,96.888,29.99542,
01:20,-0.2166934,20.31056,48.0703,48.48162,96.89,29.9649,
01:21,-0.2166934,20.26087,72.40422,46.88332,96.894,29.94202,
01:22,-0.2086677,20.23602,56.75571,46.35056,96.882,29.91913,
01:23,-0.2086677,20.21118,40.07381,46.88332,96.85,29.90387,
01:24,-0.2086677,20.16149,76.83304,47.41609,96.896,29.88098,
01:25,-0.200642,20.13665,59.85589,47.41609,96.922,29.85046,
01:26,-0.2166934,20.08696,73.413,47.41609,96.902,29.82757,
01:27,-0.2086677,20.06211,70.14059,47.41609,96.906,29.81994,
01:28,-0.2086677,20.03727,65.44112,47.94886,96.878,29.78942,
01:29,-0.2086677,19.98758,52.67135,47.94886,96.914,29.77417,
01:30,-0.2086677,19.96273,70.63269,47.94886,96.9,29.75891,
01:31,-0.2086677,19.93789,82.49209,47.94886,96.918,29.73602,
01:32,-0.2247191,19.8882,47.50439,47.41609,96.91,29.72076,
01:33,-0.2086677,19.86335,73.04394,47.94886,96.838,29.69787,
01:34,-0.2086677,19.83851,43.83831,47.41609,96.924,29.69024,
01:35,-0.2247191,19.81367,59.3638,47.94886,96.91,29.65972,
01:36,-0.200642,19.76398,44.23199,47.94886,96.9,29.65972,
01:37,-0.2166934,19.73913,67.92619,47.94886,96.88,29.63684,
01:38,-0.200642,19.71428,54,47.94886,96.922,29.61395,
01:39,-0.200642,19.68944,40.04921,46.88332,96.908,29.62158,
01:40,-0.2086677,19.6646,40.17223,46.88332,96.888,29.60632,
01:41,-0.200642,19.63975,74.9631,46.88332,96.898,29.5758,
01:42,-0.2166934,19.61491,41.55009,46.88332,96.898,29.56054,
01:43,-0.2086677,19.59006,40,46.88332,96.92,29.55291,
01:44,-0.200642,19.54037,41.86995,46.88332,96.9,29.53765,
01:45,-0.2086677,19.51553,40,46.88332,96.928,29.52239,
01:46,-0.2247191,19.49068,63.81722,46.88332,96.92,29.50713,
01:47,-0.2086677,19.46584,67.95079,46.88332,96.906,29.4995,
01:48,-0.200642,19.44099,63.30053,46.88332,96.896,29.48425,
01:49,-0.200642,19.41615,43.00176,46.88332,96.896,29.46136,
01:50,-0.2086677,19.3913,77.57117,47.41609,96.906,29.43847,
01:50,-0.2086677,19.36646,50.7768,47.41609,96.9,29.43084,
01:50,-0.2086677,19.34162,60.74165,47.41609,96.878,29.41558,
01:50,-0.2086677,19.34162,81.82777,47.41609,96.902,29.40032,
